252,27.75,850.8
257,27.8,850.82
261,27.85,850.82
261,27.88,850.83
266,27.92,850.81
270,27.93,850.83
275,27.94,850.84
275,27.94,850.81
279,27.96,850.83
284,27.96,850.81
288,27.97,850.83
293,27.98,850.84
293,27.98,850.86
297,27.99,850.82
302,27.99,850.83
306,27.99,850.85
311,27.99,850.84
315,28,850.83
320,28,850.85
324,28,850.83
329,27.99,850.86
329,28,850.87
333,28,850.85
338,28,850.85
342,27.99,850.84
347,27.99,850.84
351,27.99,850.83
351,28,850.84
356,27.99,850.83
360,28,850.84
365,28,850.83
369,28,850.84
374,28,850.83
378,28,850.84
378,28,850.85
383,28,850.85
387,28,850.85
392,28.01,850.86
396,28.01,850.84
396,28.01,850.85
400,28.01,850.84
404,28.01,850.86
404,28.01,850.86
408,28,850.85
413,28.01,850.85
413,28,850.84
417,28.01,850.88
422,28.01,850.84
426,28.01,850.84
426,28.01,850.85
431,28,850.86
431,28,850.86
435,28,850.85
440,28.01,850.85
440,28,850.85
440,28,850.82
471,27.87,850.83
471,27.9,850.84
471,27.93,850.83
476,27.95,850.83
476,27.96,850.86
476,27.96,850.84
476,27.97,850.85
476,27.97,850.84
476,27.98,850.85
480,27.98,850.86
480,27.98,850.85
480,27.98,850.85
480,27.99,850.86
480,27.99,850.85
480,27.99,850.85
480,27.99,850.86
485,27.99,850.86
480,27.99,850.85
485,28,850.88
485,27.99,850.85
485,27.99,850.82
485,28,850.83
485,28,850.84
485,28,850.84
485,28,850.86
485,27.99,850.81
485,27.99,850.84
485,28,850.87
485,27.99,850.86
485,28,850.85
485,28,850.83
485,28.01,850.83
485,28,850.84
485,28.01,850.86
485,28,850.83
485,28,850.85
485,28,850.85
485,28,850.84
485,28,850.85
485,28,850.84
485,28,850.87
485,28,850.86
485,28,850.84
485,27.99,850.85
485,27.99,850.85
485,27.99,850.82
485,27.99,850.83
485,27.98,850.82
480,27.99,850.85
480,27.99,850.86
485,27.98,850.85
480,27.98,850.84
480,27.98,850.86
480,27.98,850.87
480,27.98,850.86
480,27.98,850.86
480,27.98,850.88
480,27.98,850.85
480,27.97,850.84
480,27.98,850.88
480,27.97,850.84
480,27.97,850.84
480,27.97,850.86
476,27.97,850.86
480,27.97,850.82
476,27.97,850.85
476,27.97,850.86
476,27.97,850.85
476,27.97,850.87
476,27.97,850.86
476,27.97,850.83
476,27.97,850.86
476,27.97,850.86
476,27.97,850.84
476,27.96,850.87
476,27.97,850.86
471,27.97,850.87
476,27.97,850.84
471,27.97,850.86
471,27.97,850.86
471,27.98,850.85
471,27.97,850.85
471,27.98,850.85
471,27.98,850.86
471,27.97,850.87
471,27.97,850.84
471,27.97,850.86
471,27.97,850.84
471,27.97,850.82
471,27.97,850.85
471,27.97,850.85
467,27.97,850.87
467,27.97,850.85
467,27.96,850.84
467,27.96,850.83
467,27.96,850.83
467,27.96,850.86
467,27.96,850.86
467,27.96,850.85
467,27.96,850.83
467,27.96,850.85
467,27.97,850.86
462,27.96,850.83
462,27.96,850.84
462,27.96,850.86
462,27.96,850.86
462,27.95,850.85
462,27.95,850.85
462,27.95,850.87
462,27.95,850.85
462,27.95,850.86
462,27.94,850.85
462,27.94,850.84
462,27.94,850.85
462,27.93,850.87
462,27.94,850.86
462,27.93,850.87
458,27.93,850.85
458,27.93,850.88
458,27.92,850.85
458,27.92,850.84
458,27.92,850.84
458,27.91,850.84
458,27.91,850.85
458,27.91,850.85
458,27.92,850.84
458,27.92,850.87
458,27.92,850.84
458,27.92,850.84
458,27.92,850.85
458,27.92,850.84
453,27.93,850.82
458,27.93,850.85
453,27.93,850.82
453,27.93,850.85
453,27.93,850.85
453,27.92,850.84
453,27.92,850.82
453,27.92,850.84
453,27.92,850.85
453,27.92,850.83
453,27.92,850.83
453,27.92,850.84
453,27.93,850.84
453,27.92,850.83
453,27.92,850.84
453,27.93,850.84
453,27.92,850.83
453,27.92,850.84
453,27.92,850.83
449,27.92,850.84
449,27.92,850.85
449,27.93,850.87
449,27.93,850.86
449,27.92,850.83
449,27.92,850.85
449,27.92,850.85
449,27.92,850.84
449,27.92,850.83
449,27.91,850.84
449,27.92,850.83
449,27.91,850.85
449,27.91,850.84
449,27.91,850.86
449,27.91,850.83
449,27.91,850.84
449,27.91,850.84
449,27.91,850.87
449,27.91,850.83
449,27.91,850.83
449,27.91,850.85
449,27.91,850.85
449,27.91,850.82
449,27.91,850.84
444,27.92,850.83
444,27.91,850.84
444,27.91,850.84
444,27.92,850.85
444,27.91,850.84
444,27.91,850.84
444,27.92,850.84
444,27.92,850.84
444,27.91,850.82
444,27.91,850.85
444,27.91,850.83
444,27.92,850.85
444,27.91,850.85
444,27.91,850.84
444,27.91,850.85
444,27.91,850.83
444,27.91,850.82
444,27.91,850.84
444,27.91,850.83
444,27.91,850.82
444,27.91,850.84
444,27.91,850.83
444,27.92,850.83
444,27.91,850.82
440,27.91,850.84
440,27.91,850.83
440,27.91,850.83
440,27.91,850.83
440,27.91,850.84
440,27.91,850.83
440,27.9,850.84
440,27.91,850.83
440,27.91,850.82
440,27.91,850.81
440,27.91,850.8
440,27.91,850.82
440,27.91,850.85
440,27.91,850.82
440,27.92,850.84
440,27.91,850.84
440,27.91,850.84
440,27.91,850.84
440,27.91,850.84
440,27.91,850.84
440,27.91,850.84
440,27.91,850.84
440,27.91,850.85
440,27.91,850.84
440,27.9,850.87
440,27.91,850.83
440,27.9,850.84
440,27.91,850.82
440,27.9,850.83
440,27.9,850.84
440,27.9,850.82
440,27.9,850.85
